"year","university","school","degree","employment_rate_overall","employment_rate_ft_perm","basic_monthly_mean","basic_monthly_median","gross_monthly_mean","gross_monthly_median","gross_mthly_25_percentile","gross_mthly_75_percentile"
2017,"Nanyang Technological University","College of Engineering","Bachelor of Science (Hons) (Maritime Studies)",92.2,92.2,3279,3200,3333,3320,3000,3500
2017,"Nanyang Technological University","College of Engineering","Bachelor of Engineering (Hons) (Materials Engineering)",84.9,75.6,3288,3200,3434,3375,3200,3700
2017,"Nanyang Technological University","College of Engineering","Bachelor of Engineering (Hons) (Mechanical Engineering)",82.7,74.9,3422,3300,3579,3450,3100,4000
2017,"Nanyang Technological University","College of Engineering","Bachelor of Fine Arts (Hons)",88.5,54,2862,2800,2909,2800,2500,3200
2017,"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in Chinese",84.6,67.7,3119,3300,3147,3300,2750,3500
2017,"Nanyang Technological University","College of Engineering","Bachelor of Communication Studies (Hons)",92.6,62.2,3134,3000,3184,3000,2775,3500
2017,"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in Economics",84.7,75.5,3286,3200,3379,3240,3000,3720
2017,"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in English",77.8,50.8,3042,3000,3149,3000,2800,3300
2017,"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in History",86,68.4,3206,3100,3265,3200,3000,3600
2017,"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in Linguistics And Multilingual Studies",80,60,3042,3000,3117,3100,2600,3500
2017,"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in Psychology",78.9,59.2,3107,3107,3151,3200,2890,3500
2017,"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in Public Policy And Global Affairs",74.1,66.7,3353,3300,3479,3395,3160,3750
2017,"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in Sociology",77.6,62.1,3263,3200,3309,3228,2970,3500
2017,"Nanyang Technological University","College of Sciences","Double Degree in Bachelor of Science (Hons) in Biomedical Sciences and Bachelor of Medicine (Chinese Medicine) #",92,80,2722,2928,2792,2950,2500,3035
2017,"Nanyang Technological University","College of Sciences","Bachelor of Science (Hons) in Biological Sciences",80.4,62.6,3177,3100,3255,3200,3000,3500
